modelo_a,modelo_b,estadistico,p_value,mediana_diferencia,p_value_holm,diferencia_significativa
BiLSTM-Atencion,CNN-1D,0.0,0.0625,-0.074999896132948,0.625,False
BiLSTM-Atencion,CNN-BiLSTM,3.0,0.3125,0.022033182077953295,0.625,False
BiLSTM-Atencion,LSTM,0.0,0.0625,0.3416987864706541,0.625,False
BiLSTM-Atencion,MLP-TFIDF,0.0,0.0625,-0.039459443081631684,0.625,False
CNN-1D,CNN-BiLSTM,0.0,0.0625,0.08054213839659535,0.625,False
CNN-1D,LSTM,0.0,0.0625,0.4364083975346114,0.625,False
CNN-1D,MLP-TFIDF,1.0,0.125,0.04338527171183226,0.625,False
CNN-BiLSTM,LSTM,0.0,0.0625,0.34441395850923434,0.625,False
CNN-BiLSTM,MLP-TFIDF,1.0,0.125,-0.08554234827479246,0.625,False
LSTM,MLP-TFIDF,0.0,0.0625,-0.3811582295522858,0.625,False
